Dimension;Density;Algorithm;Num_Robots;Time;Overlapping
10;5;MSTC*;4;262,91240976455754;0,2283464566929134
10;5;TMSTC*;4;264,6708513561276;0,2230971128608924
10;5;MSTC*;2;434,94184701608066;0,06299212598425197
10;5;TMSTC*;2;442,8277056056201;0,08923884514435695
10;5;MSTC*;4;250,05598842654092;0,19160104986876642
10;5;TMSTC*;4;255,75627703419138;0,22572178477690288
10;5;MSTC*;2;434,1414141046049;0,05774278215223097
10;5;TMSTC*;2;431,56998553317635;0,05774278215223097
10;5;MSTC*;4;248,4124097645576;0,13123359580052493
10;5;TMSTC*;4;237,22756130179474;0,12073490813648294
10;5;MSTC*;2;440,61341989133444;0,06561679790026247
10;5;TMSTC*;2;443,5132755875091;0,07874015748031496
10;5;MSTC*;4;256,49855696174757;0,1942257217847769
10;5;TMSTC*;4;259,5699855331762;0,2178477690288714
10;5;MSTC*;2;445,0839826398117;0,08136482939632546
10;5;TMSTC*;2;454,78427124746213;0,10761154855643044
10;5;MSTC*;4;233,08542567806379;0,10498687664041995
10;5;TMSTC*;4;261,927128390319;0,1994750656167979
10;5;MSTC*;2;445,6274169979697;0,07611548556430446
10;5;TMSTC*;2;442,4138528028101;0,09448818897637795
10;5;MSTC*;4;269,69740253114566;0,17060367454068243
10;5;TMSTC*;4;263,4558441227157;0,23097112860892388
10;5;MSTC*;2;438,78427124746213;0,06824146981627296
10;5;TMSTC*;2;453,6406925854786;0,09711286089238845
10;5;MSTC*;4;253,8549782997642;0,18635170603674542
10;5;TMSTC*;4;277,6974025311457;0,1994750656167979
10;5;MSTC*;2;441,0125540683829;0,06561679790026247
10;5;TMSTC*;2;457,68340542451085;0,09711286089238845
10;5;MSTC*;4;259,8395381548766;0,2047244094488189
10;5;TMSTC*;4;253,59942278469902;0,1942257217847769
10;5;MSTC*;2;445,79826835409716;0,07349081364829396
10;5;TMSTC*;2;437,49855696174785;0,06824146981627296
10;5;MSTC*;4;265,58326112068517;0,2152230971128609
10;5;TMSTC*;4;255,21284267603326;0,18635170603674542
10;5;MSTC*;2;429,6708513561277;0,05249343832020997
10;5;TMSTC*;2;454,29826835409716;0,09448818897637795
10;5;MSTC*;4;265,77027414082664;0,1679790026246719
10;5;TMSTC*;4;268,1399710663523;0,23097112860892388
10;5;MSTC*;2;440,41313128368387;0,07349081364829396
10;5;TMSTC*;2;445,0994227846991;0,09448818897637795
10;5;MSTC*;4;270,427128390319;0,24934383202099739
10;5;TMSTC*;4;254,3711399637781;0,2283464566929134
10;5;MSTC*;2;440,82698408649406;0,06299212598425197
10;5;TMSTC*;2;450,48455985511254;0,10236220472440945
10;5;MSTC*;4;259,9264068711928;0,1968503937007874
10;5;TMSTC*;4;251,82770560561997;0,2099737532808399
10;5;MSTC*;2;435,4705627484773;0,06561679790026247
10;5;TMSTC*;2;436,5279942132706;0,07611548556430446
10;5;MSTC*;4;262,48311681685993;0,18110236220472442
10;5;TMSTC*;4;252,24155840842997;0,19160104986876642
10;5;MSTC*;2;428,3424242313814;0,05249343832020997
10;5;TMSTC*;2;438,8556998188905;0,07611548556430446
10;5;MSTC*;4;247,98455985511237;0,15748031496062992
10;5;TMSTC*;4;256,5979797464466;0,1968503937007874
10;5;MSTC*;2;442,64141410460496;0,06561679790026247
10;5;TMSTC*;2;437,01399710663526;0,08923884514435695
10;5;MSTC*;4;244,77027414082664;0,1679790026246719
10;5;TMSTC*;4;251,45656564184188;0,18635170603674542
10;5;MSTC*;2;435,0279942132705;0,06036745406824147
10;5;TMSTC*;2;425,3564213380167;0,047244094488188976
10;5;MSTC*;4;258,5559884265409;0,2020997375328084
10;5;TMSTC*;4;254,7982683540971;0,16272965879265092
10;5;MSTC*;2;455,78427124746213;0,08923884514435695
10;5;TMSTC*;2;432,413131283684;0,05774278215223097
